"Estacion","Fecha inicial","Fecha final","CO"
"NOBSA-NAZARETH","2020-12-31","","411.77214286"
"NOBSA-NAZARETH","2020-12-30","","427.65416667"
"NOBSA-NAZARETH","2020-12-29","","386.15608696"
"NOBSA-NAZARETH","2020-12-28","","404.98458333"
"NOBSA-NAZARETH","2020-12-27","","496.79708333"
"NOBSA-NAZARETH","2020-12-26","","526.57208333"
"NOBSA-NAZARETH","2020-12-25","","545.16909091"
"NOBSA-NAZARETH","2020-12-24","","428.34916667"
"NOBSA-NAZARETH","2020-12-23","","586.19083333"
"NOBSA-NAZARETH","2020-12-22","","284.27"
"NOBSA-NAZARETH","2020-12-21","","415.06833333"
"NOBSA-NAZARETH","2020-12-20","","497.34875"
"NOBSA-NAZARETH","2020-12-19","","409.41416667"
"NOBSA-NAZARETH","2020-12-18","","318.55708333"
"NOBSA-NAZARETH","2020-12-17","","413.61333333"
"NOBSA-NAZARETH","2020-12-16","","553.72"
"NOBSA-NAZARETH","2020-12-15","","396.33695652"
"NOBSA-NAZARETH","2020-12-14","","946.91375"
"NOBSA-NAZARETH","2020-12-13","","1169.64458333"
"NOBSA-NAZARETH","2020-12-12","","883.84541667"
"NOBSA-NAZARETH","2020-12-11","","1084.93956522"
"NOBSA-NAZARETH","2020-12-10","","777.25041667"
"NOBSA-NAZARETH","2020-12-09","","615.78565217"
"NOBSA-NAZARETH","2020-12-08","","1402.14666667"
"NOBSA-NAZARETH","2020-12-07","","838.09434783"
"NOBSA-NAZARETH","2020-12-06","","516.01833333"
"NOBSA-NAZARETH","2020-12-05","","564.78130435"
"NOBSA-NAZARETH","2020-12-04","","1118.39608696"
"NOBSA-NAZARETH","2020-12-03","","962.90625"
"NOBSA-NAZARETH","2020-12-02","","536.78875"
"NOBSA-NAZARETH","2020-12-01","","600.26916667"
"NOBSA-NAZARETH","2020-11-30","","486.51125"
"NOBSA-NAZARETH","2020-11-29","","472.5326087"
"NOBSA-NAZARETH","2020-11-28","","525.09458333"
"NOBSA-NAZARETH","2020-11-27","","395.30416667"
"NOBSA-NAZARETH","2020-11-26","","870.55166667"
"NOBSA-NAZARETH","2020-11-25","","852.39227273"
"NOBSA-NAZARETH","2020-11-24","","407.33416667"
"NOBSA-NAZARETH","2020-11-23","","825.93875"
"NOBSA-NAZARETH","2020-11-22","","994.21291667"
"NOBSA-NAZARETH","2020-11-21","","1198.72791667"
"NOBSA-NAZARETH","2020-11-20","","1762.50217391"
"NOBSA-NAZARETH","2020-11-19","","1520.30833333"
"NOBSA-NAZARETH","2020-11-18","","547.38875"
"NOBSA-NAZARETH","2020-11-17","","441.035"
"NOBSA-NAZARETH","2020-11-16","","761.78583333"
"NOBSA-NAZARETH","2020-11-15","","781.70434783"
"NOBSA-NAZARETH","2020-11-14","","905.6925"
"NOBSA-NAZARETH","2020-11-13","","445.64208333"
"NOBSA-NAZARETH","2020-11-12","","1341.31"
"NOBSA-NAZARETH","2020-11-11","","602.86695652"
"NOBSA-NAZARETH","2020-11-10","","826.96"
"NOBSA-NAZARETH","2020-11-09","","627.35291667"
